,ActivityIdentifier,ActivityLatitude,ActivityLongitude,AnalysisStartDate,Contaminant,DetectedLevel,LevelUnit
23961,nwisny.01.01602750,,,,Copper,,
23962,nwisny.01.01602750,,,,Lead,,
23967,nwisny.01.01602750,,,,Copper,,
23968,nwisny.01.01602750,,,,Lead,,
24031,nwisny.01.01700037,,,,Copper,,
24032,nwisny.01.01700037,,,,Lead,,
24037,nwisny.01.01700037,,,,Copper,,
24038,nwisny.01.01700037,,,,Lead,,
24112,nwisny.01.01600844,,,,Copper,,
24113,nwisny.01.01600844,,,,Lead,,
24118,nwisny.01.01600844,,,,Copper,,
24119,nwisny.01.01600844,,,,Lead,,
24174,nwisny.01.01601169,,,,Copper,,
24175,nwisny.01.01601169,,,,Lead,,
24180,nwisny.01.01601169,,,,Copper,,
24181,nwisny.01.01601169,,,,Lead,,
24248,nwisny.01.01601560,,,,Copper,,
24249,nwisny.01.01601560,,,,Lead,,
24254,nwisny.01.01601560,,,,Copper,,
24255,nwisny.01.01601560,,,,Lead,87.0,ug/l
24387,nwisny.01.01602231,,,,Copper,,
24388,nwisny.01.01602231,,,,Lead,,
24393,nwisny.01.01602231,,,,Copper,,
24394,nwisny.01.01602231,,,,Lead,,
24465,nwisny.01.01602746,,,,Copper,,
24466,nwisny.01.01602746,,,,Lead,,
24471,nwisny.01.01602746,,,,Copper,,
24472,nwisny.01.01602746,,,,Lead,,
24530,nwisny.01.01700038,,,,Copper,,
24531,nwisny.01.01700038,,,,Lead,,
24536,nwisny.01.01700038,,,,Copper,,
24537,nwisny.01.01700038,,,,Lead,,
24615,nwisny.01.01600933,,,,Copper,,
24616,nwisny.01.01600933,,,,Lead,,
24621,nwisny.01.01600933,,,,Copper,,
24622,nwisny.01.01600933,,,,Lead,,
24676,nwisny.01.01601173,,,,Copper,,
24677,nwisny.01.01601173,,,,Lead,,
24682,nwisny.01.01601173,,,,Copper,,
24683,nwisny.01.01601173,,,,Lead,,
24740,nwisny.01.01601694,,,,Copper,,
24741,nwisny.01.01601694,,,,Lead,,
24755,nwisny.01.01601694,,,,Copper,,
24756,nwisny.01.01601694,,,,Lead,,
24888,nwisny.01.01602338,,,,Copper,,
24889,nwisny.01.01602338,,,,Lead,,
24894,nwisny.01.01602338,,,,Copper,,
24895,nwisny.01.01602338,,,,Lead,,
24961,nwisny.01.01602784,,,,Copper,,
24962,nwisny.01.01602784,,,,Lead,,
24967,nwisny.01.01602784,,,,Copper,,
24968,nwisny.01.01602784,,,,Lead,,
25033,nwisny.01.01700086,,,,Copper,,
25034,nwisny.01.01700086,,,,Lead,,
25039,nwisny.01.01700086,,,,Copper,,
25040,nwisny.01.01700086,,,,Lead,,
25112,nwisny.01.01600790,,,,Copper,,
25113,nwisny.01.01600790,,,,Lead,,
25118,nwisny.01.01600790,,,,Copper,,
25119,nwisny.01.01600790,,,,Lead,,
25164,nwisny.01.01600981,,,,Copper,,
25165,nwisny.01.01600981,,,,Lead,,
25170,nwisny.01.01600981,,,,Copper,,
25171,nwisny.01.01600981,,,,Lead,,
25230,nwisny.01.01601431,,,,Copper,,
25231,nwisny.01.01601431,,,,Lead,,
25236,nwisny.01.01601431,,,,Copper,,
25237,nwisny.01.01601431,,,,Lead,,
25296,nwisny.01.01602000,,,,Copper,,
25297,nwisny.01.01602000,,,,Lead,,
25310,nwisny.01.01602000,,,,Copper,,
25311,nwisny.01.01602000,,,,Lead,,
25445,nwisny.01.01602715,,,,Copper,,
25446,nwisny.01.01602715,,,,Lead,,
25451,nwisny.01.01602715,,,,Copper,,
25452,nwisny.01.01602715,,,,Lead,,
25516,nwisny.01.01700028,,,,Copper,,
25517,nwisny.01.01700028,,,,Lead,,
25522,nwisny.01.01700028,,,,Copper,,
25523,nwisny.01.01700028,,,,Lead,,
25598,nwisny.01.01600932,,,,Copper,,
25599,nwisny.01.01600932,,,,Lead,,
25604,nwisny.01.01600932,,,,Copper,,
25605,nwisny.01.01600932,,,,Lead,,
25659,nwisny.01.01601163,,,,Copper,,
25660,nwisny.01.01601163,,,,Lead,,
25665,nwisny.01.01601163,,,,Copper,,
25666,nwisny.01.01601163,,,,Lead,,
25727,nwisny.01.01601697,,,,Copper,,
25728,nwisny.01.01601697,,,,Lead,,
25733,nwisny.01.01601697,,,,Copper,,
25734,nwisny.01.01601697,,,,Lead,,
25870,nwisny.01.01602341,,,,Copper,,
25871,nwisny.01.01602341,,,,Lead,,
25876,nwisny.01.01602341,,,,Copper,,
25877,nwisny.01.01602341,,,,Lead,,
25942,nwisny.01.01602786,,,,Copper,,
25943,nwisny.01.01602786,,,,Lead,,
25948,nwisny.01.01602786,,,,Copper,,
25949,nwisny.01.01602786,,,,Lead,,
26014,nwisny.01.01700087,,,,Copper,,
26015,nwisny.01.01700087,,,,Lead,,
26020,nwisny.01.01700087,,,,Copper,,
26021,nwisny.01.01700087,,,,Lead,,
28591,nwisny.01.01600930,,,,Copper,,
28592,nwisny.01.01600930,,,,Lead,,
28597,nwisny.01.01600930,,,,Copper,,
28598,nwisny.01.01600930,,,,Lead,,
28652,nwisny.01.01601172,,,,Copper,,
28653,nwisny.01.01601172,,,,Lead,,
28658,nwisny.01.01601172,,,,Copper,,
28659,nwisny.01.01601172,,,,Lead,,
28721,nwisny.01.01601692,,,,Copper,,
28722,nwisny.01.01601692,,,,Lead,,
28727,nwisny.01.01601692,,,,Copper,,
28728,nwisny.01.01601692,,,,Lead,,
28864,nwisny.01.01602339,,,,Copper,,
28865,nwisny.01.01602339,,,,Lead,,
28870,nwisny.01.01602339,,,,Copper,,
