,ActivityIdentifier,ActivityLatitude,ActivityLongitude,AnalysisStartDate,Contaminant,DetectedLevel,LevelUnit
668044,21NYDECA_WQX-01031002_04292014_WS,42.8616667,-78.8677778,2014-05-14,Copper,6.3,ug/l
668046,21NYDECA_WQX-01031002_04292014_WS,42.8616667,-78.8677778,2014-05-14,Lead,1.1,ug/l
668067,21NYDECA_WQX-01031002_06242014_WS,42.8616667,-78.8677778,2014-07-10,Lead,1.5,ug/l
668071,21NYDECA_WQX-01031002_06242014_WS,42.8616667,-78.8677778,2014-07-10,Copper,1.8,ug/l
668089,21NYDECA_WQX-01031002_06242014_WS,42.8616667,-78.8677778,2014-07-10,Lead,0.3,ug/l
668106,21NYDECA_WQX-01031002_06242014_WS,42.8616667,-78.8677778,2014-07-10,Copper,2.5,ug/l
668131,21NYDECA_WQX-01031002_08122014_WS,42.8616667,-78.8677778,2014-08-27,Copper,2.6,ug/l
668135,21NYDECA_WQX-01031002_08122014_WS,42.8616667,-78.8677778,2014-08-27,Copper,4.0,ug/l
668139,21NYDECA_WQX-01031002_08122014_WS,42.8616667,-78.8677778,2014-08-27,Lead,0.499,ug/l
668151,21NYDECA_WQX-01031002_08122014_WS,42.8616667,-78.8677778,2014-08-27,Lead,3.2,ug/l
668163,21NYDECA_WQX-01031002_10072014_WS,42.8616667,-78.8677778,2014-10-22,Copper,2.7,ug/l
668167,21NYDECA_WQX-01031002_10072014_WS,42.8616667,-78.8677778,2014-10-22,Lead,2.5,ug/l
668182,21NYDECA_WQX-01031002_10072014_WS,42.8616667,-78.8677778,2014-10-21,Copper,1.6,ug/l
668188,21NYDECA_WQX-01031002_10072014_WS,42.8616667,-78.8677778,2014-10-21,Lead,0.127,ug/l
668213,21NYDECA_WQX-02010023_04292014_WS,42.1566667,-78.7158333,2014-05-14,Copper,1.1,ug/l
668224,21NYDECA_WQX-02010023_04292014_WS,42.1566667,-78.7158333,2014-05-14,Lead,0.47200000000000003,ug/l
668235,21NYDECA_WQX-02010023_04292014_WS,42.1566667,-78.7158333,2014-05-14,Copper,0.872,ug/l
668249,21NYDECA_WQX-02010023_04292014_WS,42.1566667,-78.7158333,2014-05-14,Lead,0.14300000000000002,ug/l
668257,21NYDECA_WQX-02010023_06242014_WS,42.1566667,-78.7158333,2014-07-10,Copper,1.5,ug/l
668284,21NYDECA_WQX-02010023_06242014_WS,42.1566667,-78.7158333,2014-07-10,Lead,0.467,ug/l
668285,21NYDECA_WQX-02010023_06242014_WS,42.1566667,-78.7158333,2014-07-10,Copper,1.0,ug/l
668293,21NYDECA_WQX-02010023_06242014_WS,42.1566667,-78.7158333,2014-07-10,Lead,0.1,ug/l
668324,21NYDECA_WQX-02010023_08122014_WS,42.1566667,-78.7158333,2014-08-27,Lead,0.158,ug/l
668327,21NYDECA_WQX-02010023_08122014_WS,42.1566667,-78.7158333,2014-08-27,Lead,1.4,ug/l
668333,21NYDECA_WQX-02010023_08122014_WS,42.1566667,-78.7158333,2014-08-27,Copper,1.0,ug/l
668336,21NYDECA_WQX-02010023_08122014_WS,42.1566667,-78.7158333,2014-08-27,Copper,2.2,ug/l
668350,21NYDECA_WQX-02010023_10072014_WS,42.1566667,-78.7158333,2014-10-22,Copper,1.5,ug/l
668357,21NYDECA_WQX-02010023_10072014_WS,42.1566667,-78.7158333,2014-10-22,Copper,1.4,ug/l
668360,21NYDECA_WQX-02010023_10072014_WS,42.1566667,-78.7158333,2014-10-22,Lead,0.309,ug/l
668383,21NYDECA_WQX-02010023_10072014_WS,42.1566667,-78.7158333,2014-10-22,Lead,0.16399999999999998,ug/l
668397,21NYDECA_WQX-04010003_04282014_WS,43.2272222,-77.6163889,2014-05-14,Copper,6.4,ug/l
668398,21NYDECA_WQX-04010003_04282014_WS,43.2272222,-77.6163889,2014-05-14,Copper,1.6,ug/l
668408,21NYDECA_WQX-04010003_04282014_WS,43.2272222,-77.6163889,2014-05-14,Lead,0.132,ug/l
668412,21NYDECA_WQX-04010003_04282014_WS,43.2272222,-77.6163889,2014-05-14,Lead,3.9,ug/l
668471,21NYDECA_WQX-04010003_06242014_WS,43.2272222,-77.6163889,2014-07-10,Lead,2.4,ug/l
668472,21NYDECA_WQX-04010003_06242014_WS,43.2272222,-77.6163889,2014-07-10,Lead,0.135,ug/l
668475,21NYDECA_WQX-04010003_06242014_WS,43.2272222,-77.6163889,2014-07-10,Copper,1.9,ug/l
668476,21NYDECA_WQX-04010003_06242014_WS,43.2272222,-77.6163889,2014-07-10,Copper,4.0,ug/l
668508,21NYDECA_WQX-04010003_08112014_WS,43.2272222,-77.6163889,2014-08-27,Copper,6.3,ug/l
668515,21NYDECA_WQX-04010003_08112014_WS,43.2272222,-77.6163889,2014-08-27,Lead,0.201,ug/l
668516,21NYDECA_WQX-04010003_08112014_WS,43.2272222,-77.6163889,2014-08-27,Copper,2.5,ug/l
668530,21NYDECA_WQX-04010003_08112014_WS,43.2272222,-77.6163889,2014-08-27,Lead,3.1,ug/l
668551,21NYDECA_WQX-04010003_10072014_WS,43.2272222,-77.6163889,2014-10-22,Lead,2.3,ug/l
668568,21NYDECA_WQX-04010003_10072014_WS,43.2272222,-77.6163889,2014-10-21,Copper,5.8,ug/l
668576,21NYDECA_WQX-04010003_10072014_WS,43.2272222,-77.6163889,2014-10-21,Lead,0.314,ug/l
668588,21NYDECA_WQX-04010003_10072014_WS,43.2272222,-77.6163889,2014-10-22,Copper,4.3,ug/l
669018,21NYDECA_WQX-05010005_04282014_WS,42.0027778,-76.63416670000001,2014-05-14,Lead,0.126,ug/l
669028,21NYDECA_WQX-05010005_04282014_WS,42.0027778,-76.63416670000001,2014-05-14,Copper,1.3,ug/l
669029,21NYDECA_WQX-05010005_04282014_WS,42.0027778,-76.63416670000001,2014-05-14,Copper,1.8,ug/l
669032,21NYDECA_WQX-05010005_04282014_WS,42.0027778,-76.63416670000001,2014-05-14,Lead,0.608,ug/l
669070,21NYDECA_WQX-05010005_06232014_WS,42.0027778,-76.63416670000001,2014-07-10,Lead,0.11,ug/l
669075,21NYDECA_WQX-05010005_06232014_WS,42.0027778,-76.63416670000001,2014-07-10,Lead,0.762,ug/l
669091,21NYDECA_WQX-05010005_06232014_WS,42.0027778,-76.63416670000001,2014-07-10,Copper,2.0,ug/l
669096,21NYDECA_WQX-05010005_06232014_WS,42.0027778,-76.63416670000001,2014-07-10,Copper,1.5,ug/l
669121,21NYDECA_WQX-05010005_08112014_WS,42.0027778,-76.63416670000001,2014-08-27,Lead,1.1,ug/l
669136,21NYDECA_WQX-05010005_08112014_WS,42.0027778,-76.63416670000001,2014-08-27,Copper,2.7,ug/l
669137,21NYDECA_WQX-05010005_08112014_WS,42.0027778,-76.63416670000001,2014-08-27,Copper,2.3,ug/l
669143,21NYDECA_WQX-05010005_08112014_WS,42.0027778,-76.63416670000001,2014-08-27,Lead,0.08199999999999999,ug/l
669170,21NYDECA_WQX-05010005_10062014_WS,42.0027778,-76.63416670000001,2014-10-22,Lead,0.527,ug/l
669174,21NYDECA_WQX-05010005_10062014_WS,42.0027778,-76.63416670000001,2014-10-21,Copper,1.5,ug/l
669183,21NYDECA_WQX-05010005_10062014_WS,42.0027778,-76.63416670000001,2014-10-22,Copper,1.7,ug/l
669187,21NYDECA_WQX-05010005_10062014_WS,42.0027778,-76.63416670000001,2014-10-21,Lead,0.13,ug/l
669198,21NYDECA_WQX-060101054_04142014_WS,42.66722106,-74.94541931,2014-04-30,Lead,0.08,ug/l
669202,21NYDECA_WQX-060101054_04142014_WS,42.66722106,-74.94541931,2014-04-30,Copper,2.1,ug/l
669208,21NYDECA_WQX-060101054_04142014_WS,42.66722106,-74.94541931,2014-04-30,Lead,0.434,ug/l
669217,21NYDECA_WQX-060101054_04142014_WS,42.66722106,-74.94541931,2014-04-30,Copper,0.779,ug/l
669252,21NYDECA_WQX-06010154_05052014_WS,42.66722106,-74.94541931,2014-05-19,Copper,1.3,ug/l
669253,21NYDECA_WQX-06010154_05052014_WS,42.66722106,-74.94541931,2014-05-19,Lead,1.0,ug/l
669257,21NYDECA_WQX-06010154_05052014_WS,42.66722106,-74.94541931,2014-05-19,Copper,1.0,ug/l
669259,21NYDECA_WQX-06010154_05052014_WS,42.66722106,-74.94541931,2014-05-19,Lead,0.392,ug/l
669293,21NYDECA_WQX-06010154_06092014_WS,42.66722106,-74.94541931,2014-06-25,Lead,0.695,ug/l
669302,21NYDECA_WQX-06010154_06092014_WS,42.66722106,-74.94541931,2014-06-25,Copper,1.4,ug/l
669317,21NYDECA_WQX-06010154_06092014_WS,42.66722106,-74.94541931,2014-06-25,Copper,1.9,ug/l
669323,21NYDECA_WQX-06010154_06092014_WS,42.66722106,-74.94541931,2014-06-25,Lead,0.154,ug/l
669350,21NYDECA_WQX-06010154_07282014_WS,42.66722106,-74.94541931,2014-08-07,Copper,2.5,ug/l
669355,21NYDECA_WQX-06010154_07282014_WS,42.66722106,-74.94541931,2014-08-15,Lead,0.184,ug/l
669370,21NYDECA_WQX-06010154_07282014_WS,42.66722106,-74.94541931,2014-08-07,Lead,1.3,ug/l
669380,21NYDECA_WQX-06010154_07282014_WS,42.66722106,-74.94541931,2014-08-15,Copper,1.3,ug/l
669390,21NYDECA_WQX-06010154_09172014_WS,42.66722106,-74.94541931,2014-10-02,Lead,0.099,ug/l
669392,21NYDECA_WQX-06010154_09172014_WS,42.66722106,-74.94541931,2014-10-02,Copper,0.647,ug/l
669405,21NYDECA_WQX-06010154_09172014_WS,42.66722106,-74.94541931,2014-10-02,Copper,0.878,ug/l
669422,21NYDECA_WQX-06010154_09172014_WS,42.66722106,-74.94541931,2014-10-02,Lead,0.449,ug/l
669461,21NYDECA_WQX-06010154_10202014_WS,42.66722106,-74.94541931,2014-11-04,Lead,0.28600000000000003,ug/l
669463,21NYDECA_WQX-06010154_10202014_WS,42.66722106,-74.94541931,2014-11-04,Copper,0.768,ug/l
669467,21NYDECA_WQX-06010154_10202014_WS,42.66722106,-74.94541931,2014-11-04,Lead,0.1,ug/l
669468,21NYDECA_WQX-06010154_10202014_WS,42.66722106,-74.94541931,2014-11-04,Copper,0.971,ug/l
669493,21NYDECA_WQX-06011105_04142014_WS,42.378890000000006,-75.40624,2014-04-30,Copper,1.4,ug/l
669500,21NYDECA_WQX-06011105_04142014_WS,42.378890000000006,-75.40624,2014-04-30,Lead,0.7929999999999999,ug/l
669512,21NYDECA_WQX-06011105_04142014_WS,42.378890000000006,-75.40624,2014-04-30,Copper,0.705,ug/l
669515,21NYDECA_WQX-06011105_04142014_WS,42.378890000000006,-75.40624,2014-04-30,Lead,0.114,ug/l
669539,21NYDECA_WQX-06011105_05052014_WS,42.378890000000006,-75.40624,2014-05-19,Lead,1.0,ug/l
669550,21NYDECA_WQX-06011105_05052014_WS,42.378890000000006,-75.40624,2014-05-19,Copper,0.6709999999999999,ug/l
669551,21NYDECA_WQX-06011105_05052014_WS,42.378890000000006,-75.40624,2014-05-19,Lead,0.42,ug/l
669558,21NYDECA_WQX-06011105_05052014_WS,42.378890000000006,-75.40624,2014-05-19,Copper,0.97,ug/l
669570,21NYDECA_WQX-06011105_06092014_WS,42.378890000000006,-75.40624,2014-06-26,Copper,0.871,ug/l
669584,21NYDECA_WQX-06011105_06092014_WS,42.378890000000006,-75.40624,2014-06-25,Lead,0.961,ug/l
669598,21NYDECA_WQX-06011105_06092014_WS,42.378890000000006,-75.40624,2014-06-26,Lead,0.125,ug/l
669602,21NYDECA_WQX-06011105_06092014_WS,42.378890000000006,-75.40624,2014-06-25,Copper,1.4,ug/l
669620,21NYDECA_WQX-06011105_07282014_WS,42.378890000000006,-75.40624,2014-08-07,Lead,0.25,ug/l
669633,21NYDECA_WQX-06011105_07282014_WS,42.378890000000006,-75.40624,2014-08-14,Copper,1.5,ug/l
669635,21NYDECA_WQX-06011105_07282014_WS,42.378890000000006,-75.40624,2014-08-07,Copper,1.2,ug/l
669653,21NYDECA_WQX-06011105_07282014_WS,42.378890000000006,-75.40624,2014-08-14,Lead,0.083,ug/l
669685,21NYDECA_WQX-06011105_09172014_WS,42.378890000000006,-75.40624,2014-10-02,Lead,0.061,ug/l
669688,21NYDECA_WQX-06011105_09172014_WS,42.378890000000006,-75.40624,2014-10-02,Copper,0.905,ug/l
669689,21NYDECA_WQX-06011105_09172014_WS,42.378890000000006,-75.40624,2014-10-02,Copper,0.977,ug/l
669704,21NYDECA_WQX-06011105_09172014_WS,42.378890000000006,-75.40624,2014-10-02,Lead,0.253,ug/l
669718,21NYDECA_WQX-06011105_10202014_WS,42.378890000000006,-75.40624,2014-11-04,Lead,0.502,ug/l
669735,21NYDECA_WQX-06011105_10202014_WS,42.378890000000006,-75.40624,2014-11-04,Copper,1.2,ug/l
669740,21NYDECA_WQX-06011105_10202014_WS,42.378890000000006,-75.40624,2014-11-04,Lead,0.095,ug/l
669754,21NYDECA_WQX-06011105_10202014_WS,42.378890000000006,-75.40624,2014-11-04,Copper,0.8809999999999999,ug/l
669760,21NYDECA_WQX-06011302_04142014_WS,42.4863,-74.96868,2014-04-30,Copper,0.603,ug/l
669762,21NYDECA_WQX-06011302_04142014_WS,42.4863,-74.96868,2014-04-30,Copper,1.1,ug/l
669773,21NYDECA_WQX-06011302_04142014_WS,42.4863,-74.96868,2014-04-30,Lead,0.09699999999999999,ug/l
669784,21NYDECA_WQX-06011302_04142014_WS,42.4863,-74.96868,2014-04-30,Lead,0.718,ug/l
669809,21NYDECA_WQX-06011302_05052014_WS,42.4863,-74.96868,2014-05-19,Copper,0.7070000000000001,ug/l
669820,21NYDECA_WQX-06011302_05052014_WS,42.4863,-74.96868,2014-05-19,Lead,0.371,ug/l
669821,21NYDECA_WQX-06011302_05052014_WS,42.4863,-74.96868,2014-05-19,Copper,0.544,ug/l
669840,21NYDECA_WQX-06011302_05052014_WS,42.4863,-74.96868,2014-05-19,Lead,1.0,ug/l
669854,21NYDECA_WQX-06011302_06092014_WS,42.4863,-74.96868,2014-06-25,Copper,0.6990000000000001,ug/l
669864,21NYDECA_WQX-06011302_06092014_WS,42.4863,-74.96868,2014-06-25,Lead,0.142,ug/l
669870,21NYDECA_WQX-06011302_06092014_WS,42.4863,-74.96868,2014-06-25,Copper,0.983,ug/l
669882,21NYDECA_WQX-06011302_06092014_WS,42.4863,-74.96868,2014-06-25,Lead,0.35600000000000004,ug/l
669923,21NYDECA_WQX-06011302_07282014_WS,42.4863,-74.96868,2014-08-14,Copper,0.763,ug/l
669928,21NYDECA_WQX-06011302_07282014_WS,42.4863,-74.96868,2014-08-07,Lead,0.885,ug/l
669932,21NYDECA_WQX-06011302_07282014_WS,42.4863,-74.96868,2014-08-07,Copper,1.2,ug/l
669933,21NYDECA_WQX-06011302_07282014_WS,42.4863,-74.96868,2014-08-14,Lead,0.061,ug/l
669946,21NYDECA_WQX-06011302_09172014_WS,42.4863,-74.96868,2014-10-02,Copper,0.473,ug/l
669957,21NYDECA_WQX-06011302_09172014_WS,42.4863,-74.96868,2014-10-02,Lead,0.061,ug/l
669958,21NYDECA_WQX-06011302_09172014_WS,42.4863,-74.96868,2014-10-02,Lead,0.155,ug/l
669962,21NYDECA_WQX-06011302_09172014_WS,42.4863,-74.96868,2014-10-02,Copper,0.604,ug/l
669999,21NYDECA_WQX-06011302_10202014_WS,42.4863,-74.96868,2014-11-04,Copper,0.733,ug/l
670000,21NYDECA_WQX-06011302_10202014_WS,42.4863,-74.96868,2014-11-04,Copper,0.517,ug/l
670016,21NYDECA_WQX-06011302_10202014_WS,42.4863,-74.96868,2014-11-04,Lead,0.061,ug/l
670024,21NYDECA_WQX-06011302_10202014_WS,42.4863,-74.96868,2014-11-04,Lead,0.162,ug/l
670035,21NYDECA_WQX-06021001_04142014_WS,42.103055600000005,-75.915,2014-04-30,Copper,1.7,ug/l
670042,21NYDECA_WQX-06021001_04142014_WS,42.103055600000005,-75.915,2014-04-30,Lead,7.0,ug/l
670050,21NYDECA_WQX-06021001_04142014_WS,42.103055600000005,-75.915,2014-04-30,Lead,0.11199999999999999,ug/l
670052,21NYDECA_WQX-06021001_04142014_WS,42.103055600000005,-75.915,2014-04-30,Copper,1.5,ug/l
670094,21NYDECA_WQX-06021001_06102014_WS,42.103055600000005,-75.915,2014-06-25,Lead,0.976,ug/l
670095,21NYDECA_WQX-06021001_06102014_WS,42.103055600000005,-75.915,2014-06-26,Lead,0.07200000000000001,ug/l
670099,21NYDECA_WQX-06021001_06102014_WS,42.103055600000005,-75.915,2014-06-25,Copper,2.0,ug/l
670112,21NYDECA_WQX-06021001_06102014_WS,42.103055600000005,-75.915,2014-06-26,Copper,1.2,ug/l
670128,21NYDECA_WQX-06021001_07282014_WS,42.103055600000005,-75.915,2014-08-14,Lead,0.061,ug/l
670129,21NYDECA_WQX-06021001_07282014_WS,42.103055600000005,-75.915,2014-08-07,Copper,1.8,ug/l
670137,21NYDECA_WQX-06021001_07282014_WS,42.103055600000005,-75.915,2014-08-14,Copper,1.7,ug/l
670145,21NYDECA_WQX-06021001_07282014_WS,42.103055600000005,-75.915,2014-08-07,Lead,0.359,ug/l
670178,21NYDECA_WQX-06021001_07282014_WSMS,42.103055600000005,-75.915,2014-08-14,Lead,26.2,ug/l
670182,21NYDECA_WQX-06021001_07282014_WSMS,42.103055600000005,-75.915,2014-08-07,Copper,24.5,ug/l
670193,21NYDECA_WQX-06021001_07282014_WSMS,42.103055600000005,-75.915,2014-08-07,Lead,24.3,ug/l
670199,21NYDECA_WQX-06021001_07282014_WSMS,42.103055600000005,-75.915,2014-08-14,Copper,27.4,ug/l
670216,21NYDECA_WQX-06021001_10202014_WS,42.103055600000005,-75.915,2014-11-04,Copper,1.5,ug/l
670227,21NYDECA_WQX-06021001_10202014_WS,42.103055600000005,-75.915,2014-11-04,Copper,2.9,ug/l
670233,21NYDECA_WQX-06021001_10202014_WS,42.103055600000005,-75.915,2014-11-04,Lead,0.49,ug/l
670242,21NYDECA_WQX-06021001_10202014_WS,42.103055600000005,-75.915,2014-11-04,Lead,0.64,ug/l
670269,21NYDECA_WQX-06021053_04142014_WS,42.553475,-75.523174,2014-04-30,Lead,0.092,ug/l
670271,21NYDECA_WQX-06021053_04142014_WS,42.553475,-75.523174,2014-04-30,Copper,1.6,ug/l
670277,21NYDECA_WQX-06021053_04142014_WS,42.553475,-75.523174,2014-04-30,Copper,0.9570000000000001,ug/l
670289,21NYDECA_WQX-06021053_04142014_WS,42.553475,-75.523174,2014-04-30,Lead,0.797,ug/l
670309,21NYDECA_WQX-06021053_05052014_WS,42.553475,-75.523174,2014-05-19,Lead,1.0,ug/l
670326,21NYDECA_WQX-06021053_05052014_WS,42.553475,-75.523174,2014-05-19,Copper,0.997,ug/l
670333,21NYDECA_WQX-06021053_05052014_WS,42.553475,-75.523174,2014-05-19,Copper,1.6,ug/l
670339,21NYDECA_WQX-06021053_05052014_WS,42.553475,-75.523174,2014-05-19,Lead,0.7759999999999999,ug/l
670372,21NYDECA_WQX-06021053_06102014_WS,42.553475,-75.523174,2014-06-26,Lead,0.067,ug/l
670381,21NYDECA_WQX-06021053_06102014_WS,42.553475,-75.523174,2014-06-25,Copper,1.3,ug/l
670383,21NYDECA_WQX-06021053_06102014_WS,42.553475,-75.523174,2014-06-25,Lead,0.674,ug/l
670386,21NYDECA_WQX-06021053_06102014_WS,42.553475,-75.523174,2014-06-26,Copper,1.0,ug/l
670403,21NYDECA_WQX-06021053_07282014_WS,42.553475,-75.523174,2014-08-07,Lead,0.397,ug/l
670408,21NYDECA_WQX-06021053_07282014_WS,42.553475,-75.523174,2014-08-07,Copper,1.6,ug/l
670412,21NYDECA_WQX-06021053_07282014_WS,42.553475,-75.523174,2014-08-14,Copper,1.3,ug/l
670421,21NYDECA_WQX-06021053_07282014_WS,42.553475,-75.523174,2014-08-14,Lead,0.061,ug/l
670446,21NYDECA_WQX-06021053_09152014_WS,42.553475,-75.523174,2014-10-02,Copper,0.93,ug/l
670468,21NYDECA_WQX-06021053_09152014_WS,42.553475,-75.523174,2014-10-02,Lead,0.061,ug/l
670469,21NYDECA_WQX-06021053_09152014_WS,42.553475,-75.523174,2014-10-02,Copper,1.2,ug/l
670471,21NYDECA_WQX-06021053_09152014_WS,42.553475,-75.523174,2014-10-02,Lead,0.248,ug/l
670496,21NYDECA_WQX-06021053_09152014_WSMS,42.553475,-75.523174,2014-10-02,Copper,21.4,ug/l
670498,21NYDECA_WQX-06021053_09152014_WSMS,42.553475,-75.523174,2014-10-02,Lead,21.0,ug/l
670512,21NYDECA_WQX-06021053_09152014_WSMS,42.553475,-75.523174,2014-10-02,Lead,21.1,ug/l
670515,21NYDECA_WQX-06021053_09152014_WSMS,42.553475,-75.523174,2014-10-02,Copper,20.8,ug/l
670533,21NYDECA_WQX-06021053_10202014_WS,42.553475,-75.523174,2014-11-04,Copper,1.6,ug/l
670539,21NYDECA_WQX-06021053_10202014_WS,42.553475,-75.523174,2014-11-04,Lead,0.083,ug/l
670541,21NYDECA_WQX-06021053_10202014_WS,42.553475,-75.523174,2014-11-04,Copper,1.2,ug/l
670547,21NYDECA_WQX-06021053_10202014_WS,42.553475,-75.523174,2014-11-04,Lead,0.5539999999999999,ug/l
670584,21NYDECA_WQX-06022301_04142014_WS,42.1980555,-75.82472220000001,2014-04-30,Copper,1.1,ug/l
670590,21NYDECA_WQX-06022301_04142014_WS,42.1980555,-75.82472220000001,2014-04-30,Copper,0.985,ug/l
670601,21NYDECA_WQX-06022301_04142014_WS,42.1980555,-75.82472220000001,2014-04-30,Lead,0.11,ug/l
670613,21NYDECA_WQX-06022301_04142014_WS,42.1980555,-75.82472220000001,2014-04-30,Lead,0.34,ug/l
670627,21NYDECA_WQX-06022301_05052014_WS,42.1980555,-75.82472220000001,2014-05-19,Lead,0.97,ug/l
670631,21NYDECA_WQX-06022301_05052014_WS,42.1980555,-75.82472220000001,2014-05-19,Copper,2.9,ug/l
670633,21NYDECA_WQX-06022301_05052014_WS,42.1980555,-75.82472220000001,2014-05-19,Lead,1.0,ug/l
670654,21NYDECA_WQX-06022301_05052014_WS,42.1980555,-75.82472220000001,2014-05-19,Copper,0.925,ug/l
670672,21NYDECA_WQX-06022301_06102014_WS,42.1980555,-75.82472220000001,2014-06-25,Lead,0.095,ug/l
670673,21NYDECA_WQX-06022301_06102014_WS,42.1980555,-75.82472220000001,2014-06-26,Lead,0.061,ug/l
670686,21NYDECA_WQX-06022301_06102014_WS,42.1980555,-75.82472220000001,2014-06-25,Copper,0.877,ug/l
670698,21NYDECA_WQX-06022301_06102014_WS,42.1980555,-75.82472220000001,2014-06-26,Copper,0.851,ug/l
670720,21NYDECA_WQX-06022301_07282014_WS,42.1980555,-75.82472220000001,2014-08-07,Copper,1.7,ug/l
670734,21NYDECA_WQX-06022301_07282014_WS,42.1980555,-75.82472220000001,2014-08-07,Lead,0.295,ug/l
670746,21NYDECA_WQX-06022301_07282014_WS,42.1980555,-75.82472220000001,2014-08-14,Copper,1.4,ug/l
670750,21NYDECA_WQX-06022301_07282014_WS,42.1980555,-75.82472220000001,2014-08-14,Lead,0.061,ug/l
670758,21NYDECA_WQX-06022301_07282014_WSMS,42.1980555,-75.82472220000001,2014-08-07,Lead,22.4,ug/l
670759,21NYDECA_WQX-06022301_07282014_WSMS,42.1980555,-75.82472220000001,2014-08-14,Lead,22.2,ug/l
670761,21NYDECA_WQX-06022301_07282014_WSMS,42.1980555,-75.82472220000001,2014-08-14,Copper,22.5,ug/l
670765,21NYDECA_WQX-06022301_07282014_WSMS,42.1980555,-75.82472220000001,2014-08-07,Copper,22.2,ug/l
670773,21NYDECA_WQX-06022301_09152014_WS,42.1980555,-75.82472220000001,2014-10-02,Lead,0.061,ug/l
670778,21NYDECA_WQX-06022301_09152014_WS,42.1980555,-75.82472220000001,2014-10-02,Copper,0.847,ug/l
670797,21NYDECA_WQX-06022301_09152014_WS,42.1980555,-75.82472220000001,2014-10-02,Lead,0.098,ug/l
670807,21NYDECA_WQX-06022301_09152014_WS,42.1980555,-75.82472220000001,2014-10-02,Copper,0.9059999999999999,ug/l
670813,21NYDECA_WQX-06022301_09152014_WSMS,42.1980555,-75.82472220000001,2014-10-02,Copper,21.2,ug/l
670823,21NYDECA_WQX-06022301_09152014_WSMS,42.1980555,-75.82472220000001,2014-10-02,Copper,20.4,ug/l
670824,21NYDECA_WQX-06022301_09152014_WSMS,42.1980555,-75.82472220000001,2014-10-02,Lead,21.2,ug/l
670827,21NYDECA_WQX-06022301_09152014_WSMS,42.1980555,-75.82472220000001,2014-10-02,Lead,20.6,ug/l
670840,21NYDECA_WQX-06022301_10202014_WS,42.1980555,-75.82472220000001,2014-11-04,Copper,0.885,ug/l
670847,21NYDECA_WQX-06022301_10202014_WS,42.1980555,-75.82472220000001,2014-11-04,Lead,0.107,ug/l
670863,21NYDECA_WQX-06022301_10202014_WS,42.1980555,-75.82472220000001,2014-11-04,Lead,0.061,ug/l
670864,21NYDECA_WQX-06022301_10202014_WS,42.1980555,-75.82472220000001,2014-11-04,Copper,0.846,ug/l
670883,21NYDECA_WQX-06023201_04142014_WS,42.82640075,-75.46939849,2014-04-30,Copper,1.0,ug/l
670886,21NYDECA_WQX-06023201_04142014_WS,42.82640075,-75.46939849,2014-04-30,Lead,0.107,ug/l
670894,21NYDECA_WQX-06023201_04142014_WS,42.82640075,-75.46939849,2014-04-30,Copper,0.9570000000000001,ug/l
670902,21NYDECA_WQX-06023201_04142014_WS,42.82640075,-75.46939849,2014-04-30,Lead,0.341,ug/l
670927,21NYDECA_WQX-06023201_05052014_WS,42.82640075,-75.46939849,2014-05-19,Lead,0.20800000000000002,ug/l
670935,21NYDECA_WQX-06023201_05052014_WS,42.82640075,-75.46939849,2014-05-20,Copper,0.8740000000000001,ug/l
670944,21NYDECA_WQX-06023201_05052014_WS,42.82640075,-75.46939849,2014-05-20,Lead,1.0,ug/l
670961,21NYDECA_WQX-06023201_05052014_WS,42.82640075,-75.46939849,2014-05-19,Copper,0.6459999999999999,ug/l
670977,21NYDECA_WQX-06023201_06102014_WS,42.82640075,-75.46939849,2014-06-26,Lead,0.171,ug/l
670994,21NYDECA_WQX-06023201_06102014_WS,42.82640075,-75.46939849,2014-06-25,Lead,0.28600000000000003,ug/l
670999,21NYDECA_WQX-06023201_06102014_WS,42.82640075,-75.46939849,2014-06-25,Copper,1.2,ug/l
671009,21NYDECA_WQX-06023201_06102014_WS,42.82640075,-75.46939849,2014-06-26,Copper,0.826,ug/l
671033,21NYDECA_WQX-06023201_07282014_WS,42.82640075,-75.46939849,2014-08-07,Copper,1.2,ug/l
671038,21NYDECA_WQX-06023201_07282014_WS,42.82640075,-75.46939849,2014-08-14,Lead,0.105,ug/l
671040,21NYDECA_WQX-06023201_07282014_WS,42.82640075,-75.46939849,2014-08-07,Lead,0.685,ug/l
671047,21NYDECA_WQX-06023201_07282014_WS,42.82640075,-75.46939849,2014-08-14,Copper,1.0,ug/l
671066,21NYDECA_WQX-06023201_09152014_WS,42.82640075,-75.46939849,2014-10-02,Lead,0.27699999999999997,ug/l
671070,21NYDECA_WQX-06023201_09152014_WS,42.82640075,-75.46939849,2014-10-02,Lead,0.128,ug/l
671076,21NYDECA_WQX-06023201_09152014_WS,42.82640075,-75.46939849,2014-10-02,Copper,1.1,ug/l
671090,21NYDECA_WQX-06023201_09152014_WS,42.82640075,-75.46939849,2014-10-02,Copper,1.1,ug/l
671118,21NYDECA_WQX-06023201_10202014_WS,42.82640075,-75.46939849,2014-11-04,Lead,0.289,ug/l
671120,21NYDECA_WQX-06023201_10202014_WS,42.82640075,-75.46939849,2014-11-04,Copper,1.1,ug/l
671139,21NYDECA_WQX-06023201_10202014_WS,42.82640075,-75.46939849,2014-11-04,Copper,1.1,ug/l
